Titik,Time,Master PV
1,2024-08-14_02:02:47.386,0
2,2024-08-14_02:03:22.115,0
3,2024-08-14_02:03:57.701,0.25
4,2024-08-14_02:04:35.553,0.89
5,2024-08-14_02:06:53.354,0.81
6,2024-08-14_02:06:58.745,0.83
7,2024-08-14_02:07:45.274,1.09
8,2024-08-14_02:08:23.796,1.12
9,2024-08-14_02:08:58.155,1.2
10,2024-08-14_02:09:23.160,1.23
11,2024-08-14_01:07:04.843,0.02
12,2024-08-14_02:10:17.589,1.62
13,2024-08-14_02:11:34.806,1.28
14,2024-08-14_02:12:06.424,0.97
15,2024-08-14_02:13:10.258,1.25
16,2024-08-14_02:13:15.735,1.25
17,2024-08-14_02:14:22.313,1.5
18,2024-08-14_02:14:53.465,1.97
19,2024-08-14_02:15:22.656,3.6
20,2024-08-14_02:16:17.401,4.61
